smiles,tc,dc
CCC1CCCCCC1,6.337e+02,2.660e-01
CC1CCCCCCC1,6.537e+02,2.660e-01
CCCCCCCCC,5.932e+02,2.314e-01
CCCCCCC(C)C,5.894e+02,2.327e-01
CCCCCC(CC)C,5.865e+02,2.364e-01
CCCCC(CCC)C,5.867e+02,2.360e-01
CCCCC(CC)CC,5.887e+02,2.361e-01
CCCC(CCC)CC,5.862e+02,2.368e-01
CCCCCC(C)(C)C,5.746e+02,2.386e-01
CCCCC(C(C)C)C,5.892e+02,2.366e-01
CCCC(CC(C)C)C,5.805e+02,2.367e-01
CCC(CCC(C)C)C,5.848e+02,2.355e-01
CC(CCCC(C)C)C,5.840e+02,2.344e-01
CCCC(C(CC)C)C,5.886e+02,2.403e-01
CCC(CC(CC)C)C,5.841e+02,2.391e-01
CCCC(CCC)(C)C,5.847e+02,2.393e-01
CCCC(C(C)C)CC,5.910e+02,2.394e-01
CCC(CC(C)C)CC,5.847e+02,2.376e-01
CCCC(CC)(CC)C,5.901e+02,2.415e-01
CCC(C(CC)C)CC,5.882e+02,2.420e-01
CCCC(C(C)(C)C)C,5.847e+02,2.419e-01
CCC(CC(C)(C)C)C,5.780e+02,2.400e-01
CC(CCC(C)(C)C)C,5.661e+02,2.426e-01
CCCC(C(C)C)(C)C,5.884e+02,2.435e-01
CCC(C(C(C)C)C)C,5.933e+02,2.431e-01
CC(CC(C(C)C)C)C,5.802e+02,2.406e-01
CCC(CC(C)C)(C)C,5.865e+02,2.418e-01
CCC(C(CC)(C)C)C,5.944e+02,2.452e-01
CCC(CC)(CC)CC,5.958e+02,2.492e-01
CCC(C(C)(C)C)CC,5.916e+02,2.425e-01
CCC(C(C)C)(CC)C,6.016e+02,2.493e-01
CCC(C(C)C)C(C)C,5.964e+02,2.424e-01
CCC(C(C)(C)C)(C)C,6.010e+02,2.504e-01
CC(C(C(C)(C)C)C)C,5.894e+02,2.452e-01
CC(CC(C)(C)C)(C)C,5.860e+02,2.462e-01
CC(C(C(C)C)(C)C)C,6.020e+02,2.499e-01
CCCCC(CC)(C)C,5.811e+02,2.415e-01
C1CCC2C(C1)CCCC2,6.854e+02,2.821e-01
C1CCC(C1)C1CCCC1,7.058e+02,2.718e-01
CC1(C)C2CCC1(C)CC2,6.010e+02,2.780e-01
CC1C2CCC(C1(C)C)C2,6.404e+02,2.800e-01
C1CCC2(CC1)CCCC2,6.710e+02,2.778e-01
CCCCCC1CCCC1,6.464e+02,2.515e-01
CCCCC1CCCCC1,6.428e+02,2.549e-01
CC(C1CCCCC1)(C)C,6.454e+02,2.635e-01
CCC(C1CCCCC1)C,6.494e+02,2.590e-01
CC(CC1CCCCC1)C,6.425e+02,2.581e-01
CCCC1(C)CCCCC1,6.405e+02,2.603e-01
CCCC1CCCCC1C,6.422e+02,2.615e-01
CCCC1CCCC(C1)C,6.398e+02,2.545e-01
CCCC1CCC(CC1)C,6.392e+02,2.560e-01
CC(C1CCCCC1C)C,6.474e+02,2.630e-01
CC1CCCC(C1)C(C)C,6.409e+02,2.571e-01
CC1CCC(CC1)C(C)C,6.462e+02,2.592e-01
CC1CCC(CC1C)(C)C,6.384e+02,2.611e-01
C[C@H]1C[C@H](C)CC(C1)(C)C,6.278e+02,2.633e-01
C[C@@H]1C[C@H](C)CC(C1)(C)C,6.246e+02,2.627e-01
CCC1(CC)CCCCC1,6.411e+02,2.706e-01
C1CCCCCCCCC1,7.005e+02,2.724e-01
CCCCCCCCCC,6.149e+02,2.336e-01
CCCCCCCC(C)C,6.126e+02,2.328e-01
CCCCCCC(CC)C,6.123e+02,2.344e-01
CCCCCC(CCC)C,6.092e+02,2.362e-01
CCCCC(CCCC)C,6.094e+02,2.342e-01
CCCCCC(CC)CC,6.096e+02,2.365e-01
CCCCC(CCC)CC,6.090e+02,2.366e-01
CCCCCCC(C)(C)C,6.004e+02,2.370e-01
CCCCCC(C(C)C)C,6.144e+02,2.363e-01
CCCCC(CC(C)C)C,6.060e+02,2.358e-01
CCCC(CCC(C)C)C,6.090e+02,2.345e-01
CCC(CCCC(C)C)C,6.097e+02,2.355e-01
CC(CCCCC(C)C)C,6.112e+02,2.339e-01
CCCCCC(CC)(C)C,6.092e+02,2.373e-01
CCCCC(C(CC)C)C,6.128e+02,2.386e-01
CCCC(CC(CC)C)C,6.116e+02,2.372e-01
CCC(CCC(CC)C)C,6.108e+02,2.351e-01
CCCCC(CCC)(C)C,6.056e+02,2.391e-01
CCCC(C(CCC)C)C,6.118e+02,2.386e-01
CCCC(CCC)CCC,6.098e+02,2.370e-01
CCCC(C(C)C)CCC,6.106e+02,2.400e-01
CCCCC(C(C)C)CC,6.133e+02,2.390e-01
CCCC(CC(C)C)CC,6.101e+02,2.355e-01
CCC(CCC(C)C)CC,6.131e+02,2.340e-01
CCCCC(CC)(CC)C,6.094e+02,2.433e-01
CCCC(C(CC)C)CC,6.155e+02,2.384e-01
CCC(CC(CC)CC)C,6.128e+02,2.365e-01
CCCC(C(CC)CC)C,6.136e+02,2.405e-01
CCCC(CCC)(CC)C,6.123e+02,2.425e-01
CCCCC(C(C)(C)C)C,6.102e+02,2.410e-01
CCCC(CC(C)(C)C)C,6.061e+02,2.401e-01
CCC(CCC(C)(C)C)C,6.002e+02,2.365e-01
CC(CCCC(C)(C)C)C,6.008e+02,2.363e-01
CCCCC(C(C)C)(C)C,6.157e+02,2.413e-01
CCCC(C(C(C)C)C)C,6.207e+02,2.383e-01
CCC(CC(C(C)C)C)C,6.098e+02,2.381e-01
CC(CCC(C(C)C)C)C,6.129e+02,2.354e-01
CCCC(CC(C)C)(C)C,6.120e+02,2.406e-01
CCC(C(CC(C)C)C)C,6.135e+02,2.390e-01
CC(CC(C)C)CC(C)C,6.016e+02,2.397e-01
CCC(CCC(C)C)(C)C,6.105e+02,2.340e-01
CCCC(C(CC)(C)C)C,6.150e+02,2.445e-01
CCC(CC(CC)(C)C)C,6.064e+02,2.432e-01
CCCC(C(CC)C)(C)C,6.210e+02,2.416e-01
CCC(C(C(CC)C)C)C,6.245e+02,2.396e-01
CCCC(C(C)C)C(C)C,6.199e+02,2.402e-01
CCCC(CC)(CC)CC,6.212e+02,2.432e-01
CCC(C(CC)CC)CC,6.169e+02,2.396e-01
CCCC(C(C)(C)C)CC,6.141e+02,2.423e-01
CCC(CC(C)(C)C)CC,6.035e+02,2.399e-01
CCCC(C(C)C)(CC)C,6.219e+02,2.480e-01
CCC(C(C(C)C)C)CC,6.190e+02,2.430e-01
CCC(C(CC)C)C(C)C,6.196e+02,2.416e-01
CCC(CC(C)C)(CC)C,6.201e+02,2.427e-01
CCC(C(C)C)CC(C)C,6.112e+02,2.402e-01
CCC(C(CC)(C)C)CC,6.177e+02,2.487e-01
CCC(C(CC)(CC)C)C,6.292e+02,2.462e-01
CCCC(C(C)(C)C)(C)C,6.196e+02,2.476e-01
CCC(C(C(C)(C)C)C)C,6.176e+02,2.428e-01
CC(CC(C(C)(C)C)C)C,6.093e+02,2.427e-01
CCC(CC(C)(C)C)(C)C,6.187e+02,2.447e-01
CC(C(CC(C)(C)C)C)C,6.098e+02,2.404e-01
CC(CCC(C)(C)C)(C)C,5.925e+02,2.368e-01
CCC(C(C(C)C)(C)C)C,6.361e+02,2.429e-01
CC(CC(C(C)C)(C)C)C,6.207e+02,2.442e-01
CCC(C(C(C)C)C)(C)C,6.295e+02,2.445e-01
CC(C(C(C)C)C)C(C)C,6.263e+02,2.428e-01
CCC(C(CC)(C)C)(C)C,6.355e+02,2.477e-01
CC(C(C(C)C)C(C)C)C,6.327e+02,2.429e-01
CCC(C(C)C)(CC)CC,6.373e+02,2.511e-01
CCC(C(C)(C)C)(CC)C,6.371e+02,2.515e-01
CCC(C(C)(C)C)C(C)C,6.182e+02,2.464e-01
CCC(C(C)C)(C(C)C)C,6.408e+02,2.490e-01
CC(C(C(C)(C)C)(C)C)C,6.429e+02,2.518e-01
CC(C(C)(C)C)C(C)(C)C,6.344e+02,2.509e-01
CC1C(C1C)C,4.773e+02,2.496e-01
CCC1CC1C,5.025e+02,2.491e-01
CC(C1(C)CC1)C,5.327e+02,2.524e-01
C[C@@H]1C[C@H](C)[C@H]([C@@H]([C@H]1C)C)C,6.784e+02,2.583e-01
CCCC1(C)CCCC(C1)C,6.596e+02,2.582e-01
CCCCC(CCC)(CC)C,6.327e+02,2.378e-01
CCCC(CCC)(CCC)C,6.314e+02,2.398e-01
CC1CC(C)C(C(C1C)C)C,6.821e+02,2.607e-01
CC(C1CCCC(C1C)C)C,6.808e+02,2.580e-01
CC1CC[C@@H]2[C@@H](C1)CCCC2,7.041e+02,2.748e-01
CCC(CCC(C)(C)C)(C)C,6.147e+02,2.410e-01
CCCCCCCC1CCC1,6.679e+02,2.409e-01
CC(C(C1CC1(C)C)(C)C)C,6.400e+02,2.529e-01
CC1CCCC2C1CCCC2,7.085e+02,2.778e-01
CCCCCC(C(CC)C)C,6.399e+02,2.352e-01
CCCCCCC[C@H](CC)C,6.427e+02,2.287e-01
CC(CC(C(C(C)C)C)C)C,6.416e+02,2.376e-01
CC1CCCCC1C(C)(C)C,6.766e+02,2.650e-01
CCCC(CC(C)C)(CC)C,6.376e+02,2.426e-01
C1CCCCCCCCCC1,7.316e+02,2.669e-01
CCCCC1CCCC(C1)C,6.640e+02,2.524e-01
C[C@@H]1CC[C@@H](CC1)C(C)(C)C,6.684e+02,2.590e-01
CCCCCCC(CC)CC,6.357e+02,2.337e-01
CCCCC(C(C)C)C(C)C,6.419e+02,2.368e-01
CC1CCC(CC1)C(C)(C)C,6.653e+02,2.614e-01
CCCCC(CCCC)CC,6.336e+02,2.326e-01
CCCCC(CCC)CCC,6.312e+02,2.347e-01
C[C@@H]1CCC[C@H]2[C@H]1CCCC2,7.084e+02,2.781e-01
CCCC1CC(C(C1)(C)C)C,6.382e+02,2.535e-01
CCC(CC(C(C)C)C)(C)C,6.379e+02,2.425e-01
CCCCC(CCC(C)C)C,6.322e+02,2.331e-01
CC1CCC2C(C1)CCCC2,7.039e+02,2.746e-01
CCCC1CCCCC1CC,6.726e+02,2.558e-01
CCCCC(CC)(CC)CC,6.414e+02,2.430e-01
CCCC1CCCCCCC1,6.939e+02,2.621e-01
CCCC(C(C)(C)C)(CC)C,6.476e+02,2.484e-01
C1CCC2C(CC1)CCCC2,7.297e+02,2.821e-01
CCCCCCC(C(C)C)C,6.345e+02,2.353e-01
CCC[C@@](CC(C)C)(CC)C,6.353e+02,2.432e-01
CCCC(CC(C)(C)C)(C)C,6.336e+02,2.468e-01
CC(CCCCCC(C)C)C,6.351e+02,2.319e-01
CCCCC(C(CCC)C)C,6.314e+02,2.383e-01
C[C@@H]1CC[C@H]2[C@H](C1)CCCC2,7.025e+02,2.785e-01
C[C@@H]1CCC2C(C1)C[C@@H](CC2)C,7.249e+02,2.711e-01
CCCCC[C@@H]1CC[C@H](CC1)C,6.867e+02,2.482e-01
CCCCC(C1CCCCC1)C,6.881e+02,2.528e-01
CCCC(CC(C)C)CC(C)C,6.456e+02,2.359e-01
CCCCC1CCCC(C1)CC,6.820e+02,2.473e-01
C[C@@H](C(C)(C)C)[C@H](C(C)(C)C)C,6.870e+02,2.511e-01
CCCCC[C@H]1CCCC[C@H]1C,6.940e+02,2.488e-01
CCC(CCC(CC)(C)C)(C)C,6.375e+02,2.420e-01
C[C@@H]1[C@H](C)[C@@H](C)[C@@H]([C@H]([C@H]1C)C)C,7.017e+02,2.588e-01
