smiles,tc,dc
CC(C=C)CCC,5.306e+02,2.396e-01
CC(CC)CC=C,5.287e+02,2.417e-01
C=CCCC(C)C,5.331e+02,2.394e-01
CCCC=C(C)C,5.488e+02,2.409e-01
CCC/C(=C\C)/C,5.504e+02,2.430e-01
CCC/C(=C/C)/C,5.511e+02,2.420e-01
C/C=C\C(CC)C,5.368e+02,2.392e-01
C/C=C\CC(C)C,5.408e+02,2.427e-01
C/C=C/CC(C)C,5.314e+02,2.402e-01
CC/C=C\C(C)C,5.342e+02,2.403e-01
CC/C=C(/CC)\C,5.445e+02,2.420e-01
CC/C=C(\CC)/C,5.502e+02,2.409e-01
CC/C=C/C(C)C,5.288e+02,2.396e-01
CCCC(=C)CC,5.440e+02,2.418e-01
CCC(C=C)CC,5.301e+02,2.409e-01
CCC(C(=C)C)C,5.374e+02,2.433e-01
CC(CC(=C)C)C,5.404e+02,2.423e-01
CCC(C=C)(C)C,5.206e+02,2.437e-01
C=CC(C(C)C)C,5.319e+02,2.394e-01
C=CCC(C)(C)C,5.133e+02,2.457e-01
CCC(=CC)CC,5.489e+02,2.432e-01
CCC(=C(C)C)C,5.684e+02,2.463e-01
CC(C=C(C)C)C,5.412e+02,2.413e-01
C/C=C(\C(C)C)/C,5.536e+02,2.437e-01
C/C=C(/C(C)C)\C,5.445e+02,2.426e-01
C/C=C\C(C)(C)C,5.331e+02,2.460e-01
C/C=C/C(C)(C)C,5.183e+02,2.421e-01
CCC(=C)C(C)C,5.394e+02,2.409e-01
CC(=C)C(C)(C)C,5.368e+02,2.451e-01
COC=O,4.786e+02,3.503e-01
NCCN,6.418e+02,2.903e-01
CCC=O,5.025e+02,2.775e-01
CC(=O)C,5.014e+02,2.797e-01
CCCO,5.579e+02,2.738e-01
CC(O)C,5.500e+02,2.719e-01
COCC,4.324e+02,2.682e-01
CCCN,4.942e+02,2.543e-01
CC(N)C,4.771e+02,2.570e-01
CNCC,4.635e+02,2.517e-01
CN(C)C,4.381e+02,2.497e-01
CCOC=O,5.089e+02,3.282e-01
COC(=O)C,5.032e+02,3.229e-01
COCOC,4.824e+02,3.088e-01
NCC(N)C,6.230e+02,2.856e-01
CNCCN,6.094e+02,2.773e-01
NCCCN,6.526e+02,2.818e-01
CCCC=O,5.323e+02,2.749e-01
O=CC(C)C,5.254e+02,2.722e-01
CCC(=O)C,5.319e+02,2.750e-01
CCCCO,5.800e+02,2.715e-01
OCC(C)C,5.638e+02,2.728e-01
CCC(O)C,5.522e+02,2.744e-01
CC(O)(C)C,5.282e+02,2.727e-01
CCOCC,4.551e+02,2.624e-01
CCCOC,4.681e+02,2.661e-01
COC(C)C,4.585e+02,2.645e-01
CC[C@H](O)C,5.523e+02,2.729e-01
CC[C@@H](O)C,5.516e+02,2.732e-01
CCCCN,5.278e+02,2.556e-01
NCC(C)C,5.200e+02,2.536e-01
CCC(N)C,5.077e+02,2.583e-01
CC(N)(C)C,4.870e+02,2.603e-01
CCCNC,5.010e+02,2.503e-01
CNC(C)C,4.833e+02,2.520e-01
CCNCC,4.996e+02,2.466e-01
CCN(C)C,4.819e+02,2.468e-01
CC[C@H](N)C,5.092e+02,2.553e-01
CC[C@@H](N)C,5.092e+02,2.561e-01
O1COCOC1,6.061e+02,3.986e-01
COC(=O)OC,5.539e+02,3.531e-01
O=CCCC=O,7.003e+02,3.200e-01
CCCOC=O,5.420e+02,3.105e-01
O=COC(C)C,5.497e+02,3.067e-01
CCOC(=O)C,5.334e+02,3.094e-01
CCC(=O)OC,5.282e+02,3.094e-01
C1CCOCO1,5.426e+02,3.536e-01
N1CCNCC1,6.524e+02,3.073e-01
COCCOC,5.275e+02,2.948e-01
COC(OC)C,5.116e+02,2.992e-01
NCCCCN,6.715e+02,2.743e-01
C[C@H]([C@H](N)C)N,6.199e+02,2.810e-01
CNCCNC,6.005e+02,2.662e-01
NCCNCC,6.197e+02,2.685e-01
NCC(N)(C)C,6.130e+02,2.822e-01
NCCC(N)C,6.470e+02,2.778e-01
NCCN(C)C,5.968e+02,2.687e-01
CNCCCN,6.293e+02,2.713e-01
CCCCC=O,5.630e+02,2.716e-01
C[C@H](C=O)CC,5.549e+02,2.701e-01
O=CCC(C)C,5.580e+02,2.716e-01
O=CC(C)(C)C,5.318e+02,2.737e-01
CC(C=O)CC,5.530e+02,2.709e-01
CCCC(=O)C,5.592e+02,2.723e-01
CCC(=O)CC,5.586e+02,2.710e-01
CC(=O)C(C)C,5.522e+02,2.719e-01
C1CCCOC1,5.363e+02,3.060e-01
C1CCCNC1,5.746e+02,2.888e-01
CCCCCO,5.994e+02,2.667e-01
CCCC(O)C,5.744e+02,2.682e-01
CCC(CC)O,5.603e+02,2.677e-01
CCC(CO)C,5.851e+02,2.677e-01
CC(C(C)C)O,5.601e+02,2.664e-01
OCCC(C)C,6.014e+02,2.703e-01
CCC(O)(C)C,5.473e+02,2.689e-01
C[C@@H](C(C)C)O,5.589e+02,2.675e-01
OCC(C)(C)C,5.559e+02,2.707e-01
CCCCOC,5.076e+02,2.611e-01
COCC(C)C,4.987e+02,2.616e-01
CCC(OC)C,4.963e+02,2.617e-01
COC(C)(C)C,4.883e+02,2.671e-01
CCOCCC,4.864e+02,2.584e-01
CCOC(C)C,4.773e+02,2.584e-01
CC[C@@H](OC)C,4.968e+02,2.608e-01
CC[C@@H](CO)C,5.856e+02,2.669e-01
CCC[C@H](O)C,5.726e+02,2.675e-01
CCCCCN,5.597e+02,2.526e-01
CCCC(N)C,5.423e+02,2.545e-01
CC[C@@H](CN)C,5.565e+02,2.527e-01
NCCC(C)C,5.578e+02,2.517e-01
CCC(N)(C)C,5.209e+02,2.590e-01
CC(C(C)C)N,5.433e+02,2.541e-01
NCC(C)(C)C,5.318e+02,2.560e-01
CCC(CC)N,5.402e+02,2.537e-01
CCCCNC,5.375e+02,2.480e-01
CNC(C)(C)C,5.067e+02,2.547e-01
CCC(NC)C,5.187e+02,2.503e-01
CNCC(C)C,5.284e+02,2.485e-01
CCNCCC,5.322e+02,2.434e-01
CCNC(C)C,5.124e+02,2.471e-01
CCN(CC)C,5.180e+02,2.455e-01
CCCN(C)C,5.207e+02,2.462e-01
CN(C(C)C)C,5.080e+02,2.527e-01
CCOC(=O)OC,5.721e+02,3.335e-01
COC(OC)OC,5.409e+02,3.208e-01
NCCNCCN,7.448e+02,2.880e-01
O=CCCCC=O,7.076e+02,3.093e-01
CCCCOC=O,5.715e+02,3.020e-01
O=COCC(C)C,5.875e+02,3.002e-01
CC(OC=O)CC,5.518e+02,3.011e-01
O=COC(C)(C)C,5.645e+02,2.985e-01
CCCOC(=O)C,5.583e+02,2.979e-01
CC(OC(=O)C)C,5.380e+02,2.977e-01
CCOC(=O)CC,5.535e+02,2.960e-01
CCCC(=O)OC,5.569e+02,2.988e-01
COC(=O)C(C)C,5.477e+02,2.976e-01
CC1CCOCO1,5.578e+02,3.296e-01
C1CCCOCO1,5.679e+02,3.402e-01
CN1CCNCC1,6.460e+02,2.883e-01
CC1CNCCN1,6.464e+02,2.961e-01
C1CNCCNC1,6.875e+02,3.006e-01
C[C@H]1CNCCN1,6.477e+02,2.969e-01
C[C@@H]1CNCCN1,6.521e+02,2.955e-01
CCOCOCC,5.098e+02,2.828e-01
CCC(OC)OC,5.365e+02,2.899e-01
COC(OC)(C)C,5.462e+02,2.928e-01
COCCOCC,5.403e+02,2.817e-01
COCC(OC)C,5.404e+02,2.854e-01
NCCCCCN,6.860e+02,2.691e-01
NCCC(CC)N,6.580e+02,2.721e-01
NCCCN(C)C,6.206e+02,2.641e-01
CNCCCNC,6.160e+02,2.637e-01
NCC(CN)(C)C,6.533e+02,2.735e-01
CN(CC(N)C)C,6.048e+02,2.637e-01
NCCNC(C)C,6.189e+02,2.626e-01
CCCNCCN,6.359e+02,2.615e-01
CNCCN(C)C,6.004e+02,2.589e-01
OC1CCCCC1,6.352e+02,3.014e-01
CCCCCC=O,5.921e+02,2.657e-01
CC(C=O)CCC,5.827e+02,2.662e-01
CC(CC)CC=O,5.876e+02,2.689e-01
O=CCCC(C)C,5.921e+02,2.646e-01
CCC(C=O)CC,5.819e+02,2.671e-01
CCC(C=O)(C)C,5.671e+02,2.698e-01
O=CC(C(C)C)C,5.824e+02,2.683e-01
O=CCC(C)(C)C,5.757e+02,2.702e-01
CCCCC(=O)C,5.901e+02,2.657e-01
CCCC(=O)CC,5.822e+02,2.670e-01
CCC(C(=O)C)C,5.779e+02,2.696e-01
CC(CC(=O)C)C,5.808e+02,2.695e-01
CCC(=O)C(C)C,5.782e+02,2.649e-01
CC(=O)C(C)(C)C,5.655e+02,2.715e-01
C1CCCCOC1,5.801e+02,3.049e-01
CC1CCCOC1,5.576e+02,2.978e-01
NC1CCCCC1,6.142e+02,2.895e-01
C1CCCCNC1,6.217e+02,2.870e-01
CN1CCCCC1,5.885e+02,2.756e-01
CC1CCCCN1,5.903e+02,2.785e-01
CC1CCCNC1,5.986e+02,2.753e-01
CC1CCNCC1,5.970e+02,2.780e-01
C[C@H]1CCCCN1,5.854e+02,2.798e-01
CCCCCCO,6.218e+02,2.605e-01
CCCCC(O)C,5.949e+02,2.587e-01
CCCC(CC)O,5.834e+02,2.606e-01
CCCC(CO)C,6.057e+02,2.653e-01
OCCC(CC)C,6.236e+02,2.612e-01
OCCCC(C)C,6.205e+02,2.645e-01
CC(CC(O)C)C,5.902e+02,2.626e-01
CCCC(O)(C)C,5.732e+02,2.661e-01
CCC(C(O)C)C,5.858e+02,2.634e-01
CCC(C(C)C)O,5.743e+02,2.625e-01
CCC(CC)(O)C,5.681e+02,2.655e-01
CCC(CO)CC,6.061e+02,2.645e-01
CCC(CO)(C)C,5.913e+02,2.652e-01
OCC(C(C)C)C,6.131e+02,2.674e-01
OCCC(C)(C)C,6.136e+02,2.659e-01
CC(C(O)(C)C)C,5.774e+02,2.676e-01
CC(C(C)(C)C)O,5.730e+02,2.673e-01
CCCC[C@H](O)C,5.928e+02,2.638e-01
CCC[C@@H](CC)O,5.823e+02,2.619e-01
CCCOCCC,5.148e+02,2.562e-01
CCCOC(C)C,5.065e+02,2.558e-01
CC(OC(C)C)C,4.963e+02,2.571e-01
CCCCCOC,5.440e+02,2.568e-01
CCCC(OC)C,5.318e+02,2.588e-01
COCC(CC)C,5.366e+02,2.586e-01
COCCC(C)C,5.366e+02,2.607e-01
CCC(OC)CC,5.256e+02,2.595e-01
COC(C(C)C)C,5.254e+02,2.574e-01
CCC(OC)(C)C,5.250e+02,2.638e-01
COCC(C)(C)C,5.131e+02,2.621e-01
CCCCOCC,5.219e+02,2.561e-01
CCOCC(C)C,5.101e+02,2.573e-01
CCOC(CC)C,5.052e+02,2.608e-01
CCOC(C)(C)C,5.023e+02,2.586e-01
CCCC[C@@H](O)C,5.945e+02,2.639e-01
CCCCCCN,5.899e+02,2.505e-01
CCCCC(N)C,5.738e+02,2.527e-01
CCCC(CC)N,5.698e+02,2.530e-01
CCCC(CN)C,5.844e+02,2.510e-01
NCCC(CC)C,5.897e+02,2.512e-01
NCCCC(C)C,5.833e+02,2.520e-01
CCCC(N)(C)C,5.566e+02,2.556e-01
CCC(C(N)C)C,5.735e+02,2.557e-01
CC(CC(N)C)C,5.739e+02,2.507e-01
CCC(C(C)C)N,5.681e+02,2.553e-01
CCC(CC)(N)C,5.580e+02,2.575e-01
CCC(CN)(C)C,5.751e+02,2.557e-01
NCC(C(C)C)C,5.860e+02,2.545e-01
NCCC(C)(C)C,5.799e+02,2.551e-01
CC(C(N)(C)C)C,5.620e+02,2.583e-01
CC(C(C)(C)C)N,5.628e+02,2.583e-01
CCC(CN)CC,5.859e+02,2.537e-01
CCCCCNC,5.668e+02,2.466e-01
CCCC(NC)C,5.513e+02,2.492e-01
CNCC(CC)C,5.595e+02,2.502e-01
CCC(NC)CC,5.486e+02,2.501e-01
CNC(C(C)C)C,5.474e+02,2.525e-01
CNCC(C)(C)C,5.419e+02,2.538e-01
CCCCNCC,5.625e+02,2.432e-01
CCNC(CC)C,5.439e+02,2.469e-01
CCNCC(C)C,5.530e+02,2.449e-01
CCNC(C)(C)C,5.326e+02,2.501e-01
CCCNCCC,5.592e+02,2.425e-01
CC(NC(C)C)C,5.291e+02,2.487e-01
CCCNC(C)C,5.441e+02,2.432e-01
CCCN(CC)C,5.508e+02,2.440e-01
CCN(C(C)C)C,5.451e+02,2.465e-01
CCCCN(C)C,5.537e+02,2.447e-01
CCC(N(C)C)C,5.482e+02,2.502e-01
CC(CN(C)C)C,5.485e+02,2.465e-01
CN(C(C)(C)C)C,5.390e+02,2.533e-01
CCN(CC)CC,5.470e+02,2.421e-01
NCCO,7.011e+02,3.139e-01
C=CC=O,5.124e+02,2.846e-01
OCC=C,6.039e+02,2.834e-01
NCC=C,5.166e+02,2.616e-01
CC(=O)CO,7.341e+02,3.265e-01
COCC=O,5.669e+02,3.202e-01
COCCO,6.203e+02,3.135e-01
CC(CN)O,6.617e+02,3.018e-01
NCCCO,7.120e+02,3.029e-01
CNCCO,6.639e+02,2.932e-01
COCCN,5.593e+02,2.906e-01
C[C@@H](CO)N,6.708e+02,3.030e-01
C[C@H](CN)O,6.592e+02,2.994e-01
C[C@@H](CN)O,6.623e+02,2.983e-01
CC(CO)N,6.692e+02,3.042e-01
C/C=C/C=O,5.573e+02,2.816e-01
CC(=O)C=C,5.646e+02,2.801e-01
O=CC1CC1,5.664e+02,3.056e-01
COCC=C,4.929e+02,2.692e-01
C/C=C\CO,6.347e+02,2.744e-01
C/C=C/CO,6.194e+02,2.713e-01
OCCC=C,6.061e+02,2.762e-01
CC(C=C)O,5.908e+02,2.764e-01
CC(=C)CO,6.122e+02,2.756e-01
OCC1CC1,6.135e+02,2.985e-01
CNCC=C,5.134e+02,2.560e-01
NCC1CC1,5.576e+02,2.810e-01
CC(=C)CN,5.510e+02,2.601e-01
COC(=O)CO,7.205e+02,3.565e-01
NCC(CO)O,8.342e+02,3.353e-01
OCC(CO)N,8.656e+02,3.395e-01
COC(=O)C=C,5.483e+02,3.173e-01
C=CCOC=O,5.400e+02,3.209e-01
CCOCC=O,5.700e+02,3.048e-01
CC(CC=O)O,7.201e+02,3.154e-01
CCC(=O)CO,7.247e+02,3.088e-01
CC(=O)C(O)C,7.058e+02,3.085e-01
CC(=O)CCO,7.435e+02,3.118e-01
COCC(=O)C,5.933e+02,3.051e-01
CC(=O)[C@H](O)C,7.089e+02,3.109e-01
C1CNCCO1,5.905e+02,3.302e-01
OCCOCC,6.117e+02,2.970e-01
C[C@H](OC)CO,6.134e+02,3.007e-01
COCC(O)C,5.991e+02,3.029e-01
COCCCO,6.392e+02,3.074e-01
COC[C@@H](O)C,5.997e+02,3.017e-01
COC[C@H](O)C,6.049e+02,2.980e-01
OCCN(C)C,6.414e+02,2.822e-01
CC(CCO)N,6.922e+02,2.953e-01
C[C@@H]([C@H](N)C)O,6.682e+02,2.926e-01
NCCCCO,7.213e+02,2.937e-01
CCC(CO)N,6.757e+02,2.926e-01
OCC(N)(C)C,6.600e+02,2.975e-01
NCCOCC,5.623e+02,2.795e-01
OCCNCC,6.582e+02,2.816e-01
COCCCN,5.950e+02,2.850e-01
CC(CCN)O,6.821e+02,2.925e-01
CCC(CN)O,6.622e+02,2.890e-01
CC[C@@H](CO)N,6.688e+02,2.882e-01
COCC(N)C,5.595e+02,2.872e-01
NCC(O)(C)C,6.761e+02,2.909e-01
CC(=O)C(=C)C,5.714e+02,2.784e-01
CC(=O)C1CC1,6.050e+02,2.925e-01
C/C=C(/C=O)\C,6.183e+02,2.754e-01
O=CC=C(C)C,5.904e+02,2.819e-01
C=CCCC=O,5.703e+02,2.805e-01
C=CC(C=C)O,6.383e+02,2.787e-01
C/C=C/C(=O)C,5.874e+02,2.781e-01
CCC(=O)C=C,5.839e+02,2.747e-01
CCC(=C)C=O,5.896e+02,2.770e-01
N1CCC=CC1,6.240e+02,2.936e-01
CCOCC=C,5.074e+02,2.660e-01
COCC(=C)C,5.279e+02,2.672e-01
C=CC(O)(C)C,5.911e+02,2.739e-01
OCC=C(C)C,6.490e+02,2.707e-01
CC(=C)C(O)C,6.065e+02,2.695e-01
CCC(C=C)O,5.941e+02,2.693e-01
C/C=C/C(O)C,6.145e+02,2.664e-01
OCCCC=C,6.094e+02,2.744e-01
CC(CC=C)O,5.875e+02,2.719e-01
CC/C=C\CO,6.421e+02,2.702e-01
CC/C=C/CO,6.355e+02,2.685e-01
CC(C1CC1)O,6.016e+02,2.917e-01
OCC1CCC1,6.277e+02,2.952e-01
CC(C=C)CO,6.006e+02,2.712e-01
CC(=C)CCO,6.305e+02,2.722e-01
OCC1(C)CC1,6.000e+02,2.897e-01
CC1CC1CO,6.088e+02,2.885e-01
C=CCN(C)C,5.296e+02,2.504e-01
CC(=C)C1CC1,5.352e+02,2.557e-01
CC(=O)OCCO,6.618e+02,3.423e-01
CCOC(=O)CO,7.158e+02,3.398e-01
COC(=O)CCO,7.362e+02,3.436e-01
COC(=O)C(O)C,6.829e+02,3.354e-01
OC1COCOC1,6.931e+02,3.822e-01
COC(=O)[C@H](O)C,6.829e+02,3.363e-01
COC(=O)[C@@H](O)C,6.815e+02,3.386e-01
CCOC(=O)CN,6.453e+02,3.234e-01
NCCOCCO,7.338e+02,3.134e-01
NCC(OC)OC,6.057e+02,3.123e-01
NCCNCCO,7.942e+02,3.023e-01
NCCOCCN,6.807e+02,2.962e-01
CC(=O)OCC=C,5.489e+02,3.060e-01
C/C=C\C(=O)OC,5.960e+02,3.067e-01
C/C=C/C(=O)OC,5.844e+02,3.046e-01
CCOC(=O)C=C,5.728e+02,3.023e-01
COC(=O)C(=C)C,5.714e+02,3.058e-01
COC(=O)C1CC1,5.976e+02,3.222e-01
O=CCCC(=O)C,6.932e+02,3.100e-01
O=C1CCOCC1,6.868e+02,3.489e-01
C1OCC=CCO1,7.074e+02,3.415e-01
COC(=O)CC=C,5.728e+02,3.062e-01
COC(C=C)OC,5.599e+02,2.955e-01
CCOCCC=O,6.014e+02,2.955e-01
OCCOCC=C,6.547e+02,2.965e-01
CC(C(=O)C)CO,7.275e+02,3.023e-01
CCCC(=O)CO,7.280e+02,2.963e-01
CCC(=O)C(O)C,7.028e+02,2.997e-01
CCC(C(=O)C)O,6.905e+02,3.000e-01
C[C@@H](CC(=O)C)O,7.114e+02,3.039e-01
OCCCC(=O)C,7.240e+02,3.051e-01
OC1CCOCC1,6.901e+02,3.421e-01
CC(=O)C(O)(C)C,6.953e+02,3.038e-01
OCCCCC=O,7.421e+02,3.105e-01
OCC(C=O)(C)C,7.022e+02,3.063e-01
CC(OC)CC=O,5.943e+02,3.008e-01
CN1CCOCC1,5.966e+02,3.052e-01
CN(CC(=O)C)C,6.302e+02,2.782e-01
OC1CCNCC1,7.245e+02,3.183e-01
CCCOCCO,6.202e+02,2.869e-01
CCOCC(O)C,5.938e+02,2.885e-01
CCOC(CO)C,6.036e+02,2.869e-01
OCCOC(C)C,6.080e+02,2.894e-01
CC(OC)CCO,6.421e+02,2.961e-01
COCC(CC)O,6.026e+02,2.886e-01
OCCCOCC,6.284e+02,2.929e-01
OCC(C(C)C)N,6.731e+02,2.833e-01
CCC(C(N)C)O,6.603e+02,2.839e-01
NCCCCCO,7.303e+02,2.840e-01
CN(CC(O)C)C,6.226e+02,2.767e-01
OCC(N(C)C)C,6.386e+02,2.791e-01
OCCCN(C)C,6.552e+02,2.760e-01
CNCCOCC,5.664e+02,2.702e-01
OCCNC(C)C,6.519e+02,2.742e-01
CCCC(CN)O,6.625e+02,2.820e-01
OC[C@H](C(C)C)N,6.745e+02,2.840e-01
CCCC(CO)N,6.787e+02,2.833e-01
CN(C[C@@H](O)C)C,6.223e+02,2.756e-01
NCCCOCC,5.982e+02,2.745e-01
Oc1ccccc1,7.231e+02,3.385e-01
O=C1CCCC=C1,6.705e+02,3.153e-01
O=C1CCC=CC1,6.796e+02,3.137e-01
C/C=C/C=C/C=O,6.384e+02,2.795e-01
CC(=CC(=O)C)C,6.426e+02,2.730e-01
OC1CCCC=C1,7.002e+02,3.047e-01
OC1CCC=CC1,6.677e+02,3.094e-01
O=CC1CCCC1,6.288e+02,2.972e-01
C=CCOCC=C,5.629e+02,2.652e-01
CC1=CCOCC1,6.119e+02,3.032e-01
CC/C=C/C(=O)C,6.122e+02,2.704e-01
C/C=C/CC(=O)C,5.965e+02,2.732e-01
C/C=C/C(=O)CC,6.009e+02,2.727e-01
C=CCCC(=O)C,5.959e+02,2.741e-01
CCC(=O)C(=C)C,5.919e+02,2.755e-01
CC(=C)CC(=O)C,5.985e+02,2.751e-01
CC=CC(C=C)O,6.409e+02,2.692e-01
C=CCC(C=C)O,6.345e+02,2.703e-01
C/C=C/C=C/CO,6.768e+02,2.738e-01
C=CC=CC(O)C,6.466e+02,2.739e-01
CCC/C=C/C=O,6.084e+02,2.711e-01
CC/C=C\CC=O,6.262e+02,2.751e-01
CC/C=C/CC=O,5.988e+02,2.732e-01
C/C(=C\CC)/C=O,6.294e+02,2.748e-01
CC(=O)C1(C)CC1,6.099e+02,2.859e-01
O=C/C=C/C(C)C,6.023e+02,2.732e-01
C/C=C(/C(=O)C)\C,6.013e+02,2.736e-01
CC/C(=C\C)/C=O,6.304e+02,2.754e-01
C=CCNCC=C,5.781e+02,2.526e-01
N[C@H]1CCCC=C1,6.559e+02,2.944e-01
C=CCOC(C)C,5.204e+02,2.625e-01
CCCOCC=C,5.315e+02,2.607e-01
OCC1CCCC1,6.596e+02,2.967e-01
CCCC(C=C)O,6.150e+02,2.659e-01
CCC/C=C\CO,6.545e+02,2.665e-01
CCC/C=C/CO,6.442e+02,2.670e-01
OCC/C=C\CC,6.509e+02,2.669e-01
C/C=C/CCCO,6.286e+02,2.666e-01
C=CCCC(O)C,6.040e+02,2.670e-01
CC/C=C(/CO)\C,6.500e+02,2.673e-01
C/C=C\C(O)(C)C,6.375e+02,2.709e-01
C=CCC(O)(C)C,5.852e+02,2.710e-01
C/C=C(/C(O)C)\C,6.300e+02,2.703e-01
CC(C(O)C)C=C,5.915e+02,2.707e-01
OC/C=C/C(C)C,6.474e+02,2.640e-01
CC(=CC(O)C)C,6.341e+02,2.689e-01
OCCC=C(C)C,6.526e+02,2.689e-01
CC(CC(=C)C)O,6.180e+02,2.695e-01
OCCCCC=C,6.360e+02,2.670e-01
OCC/C=C/CC,6.339e+02,2.673e-01
CC(C=C)(CC)O,6.048e+02,2.680e-01
C=CCNC(C)C,5.507e+02,2.494e-01
CCNCC(=C)C,5.777e+02,2.479e-01
CN(CC(=C)C)C,5.683e+02,2.502e-01
C=CC1CCCC1,5.660e+02,2.650e-01
O=COCCOC=O,6.900e+02,3.877e-01
OCCOC(=O)C=C,6.867e+02,3.339e-01
CC(=O)OCC(=O)C,6.637e+02,3.317e-01
COC(=O)OCC=C,5.998e+02,3.251e-01
CCOC(=O)OCC,5.861e+02,3.183e-01
CCOC(=O)C(O)C,6.929e+02,3.179e-01
COCCOC(=O)C,5.934e+02,3.232e-01
OCCC(=O)OCC,7.345e+02,3.270e-01
COCC(=O)OCC,6.103e+02,3.191e-01
OC1COC(OC1)C,6.978e+02,3.600e-01
CCOCC(=O)OC,5.941e+02,3.185e-01
CCCOC(=O)CO,7.176e+02,3.182e-01
CCOC(=O)[C@@H](O)C,6.873e+02,3.191e-01
COC(C(=O)C)OC,6.250e+02,3.197e-01
COC(=O)C[C@H](O)C,7.128e+02,3.320e-01
C[C@@H](C(=O)OC)CO,7.184e+02,3.259e-01
C[C@H](C(=O)OC)CO,7.211e+02,3.244e-01
COCCC(=O)OC,6.188e+02,3.223e-01
COC(CC=O)OC,6.268e+02,3.242e-01
COC(=O)CC(O)C,7.027e+02,3.385e-01
CC(COC(=O)C)O,6.485e+02,3.228e-01
COC(=O)CCCN,6.740e+02,3.108e-01
COCCOCCO,6.743e+02,3.106e-01
COCC(COC)O,6.473e+02,3.107e-01
COC(OC)(OC)C,5.606e+02,3.123e-01
COCC(OC)OC,5.801e+02,3.081e-01
CNCC(OC)OC,5.955e+02,2.950e-01
NCCNCC(O)C,7.553e+02,2.925e-01
NCCCNCCO,7.850e+02,2.945e-01
NCCNCCCN,7.497e+02,2.804e-01
O=C1C=CC(=O)C=C1,7.821e+02,3.883e-01
C=CCOC(=O)C=C,5.900e+02,3.017e-01
O=C1CCC(=O)CC1,7.729e+02,3.407e-01
CCOC(=O)C(=C)C,5.884e+02,2.959e-01
CCCOC(=O)C=C,5.954e+02,2.944e-01
C/C=C/COC(=O)C,5.820e+02,2.918e-01
CCC(=O)OCC=C,5.736e+02,2.909e-01
CCOC(=O)CC=C,5.947e+02,2.937e-01
CCOC(=O)/C=C\C,6.174e+02,2.949e-01
CCOC(=O)/C=C/C,6.092e+02,2.914e-01
CCOC(=O)C1CC1,6.148e+02,3.094e-01
O=CCCCCC=O,7.170e+02,2.999e-01
CC(=O)CCC(=O)C,6.911e+02,3.002e-01
COC(=O)C1CCC1,6.326e+02,3.076e-01
COC(=O)/C(=C/C)/C,6.062e+02,2.963e-01
CC/C=C/C(=O)OC,6.089e+02,2.971e-01
C/C=C/CC(=O)OC,5.976e+02,2.972e-01
OC1CCCCC1=O,7.745e+02,3.278e-01
O=CCC(CC=O)C,7.114e+02,3.025e-01
CN1CCCC(=O)C1,6.823e+02,3.098e-01
CN1CCC(=O)CC1,6.836e+02,3.102e-01
NCC1CCCCO1,6.435e+02,3.078e-01
C1CN2CCN1CC2,6.570e+02,3.099e-01
CCCCCOC=O,5.974e+02,2.928e-01
CC(OC=O)CCC,5.772e+02,2.945e-01
CC(CC)COC=O,5.939e+02,2.955e-01
O=COCCC(C)C,6.142e+02,2.929e-01
CCC(OC=O)CC,5.762e+02,2.939e-01
CCC(OC=O)(C)C,5.784e+02,2.944e-01
O=COC(C(C)C)C,5.933e+02,2.917e-01
O=COCC(C)(C)C,5.947e+02,2.972e-01
CCCCOC(=O)C,5.875e+02,2.892e-01
CC(COC(=O)C)C,5.722e+02,2.932e-01
CCC(OC(=O)C)C,5.553e+02,2.939e-01
CC(=O)OC(C)(C)C,5.404e+02,2.925e-01
CCCOC(=O)CC,5.775e+02,2.855e-01
CCC(=O)OC(C)C,5.585e+02,2.846e-01
CCCC(=O)OCC,5.777e+02,2.873e-01
CCOC(=O)C(C)C,5.641e+02,2.905e-01
CC(=O)CC(O)(C)C,6.861e+02,3.012e-01
CC1CCOC(O1)C,5.924e+02,3.157e-01
CCC(=O)C(CC)O,6.879e+02,2.902e-01
CC(CCC(=O)C)O,7.059e+02,2.967e-01
CCC(=O)CC(O)C,7.107e+02,2.965e-01
OCCCCC(=O)C,7.499e+02,2.935e-01
CCC(C(C=O)C)O,6.994e+02,2.998e-01
COC(=O)C(C)(C)C,5.507e+02,2.942e-01
COC(=O)CC(C)C,5.797e+02,2.893e-01
CCCCC(=O)OC,5.885e+02,2.863e-01
OCC1CCCCO1,6.783e+02,3.202e-01
COC1CCCCO1,5.934e+02,3.200e-01
CCC(C(=O)OC)C,5.677e+02,2.903e-01
CC1OCC(OC1)C,5.595e+02,3.196e-01
CC1(C)CCOCO1,5.650e+02,3.229e-01
CC1COCC(O1)C,5.505e+02,3.113e-01
C=CCOCC(O)C,6.325e+02,2.881e-01
CC(=O)CC(N)(C)C,6.492e+02,2.904e-01
CC1CNCC(O1)C,5.878e+02,3.012e-01
CCN1CCOCC1,6.213e+02,2.927e-01
CN1CCCC(C1)O,7.117e+02,2.980e-01
CN1CCC(CC1)O,7.023e+02,3.026e-01
OCC1CCCCN1,7.213e+02,3.064e-01
OCC1CCCNC1,7.622e+02,3.054e-01
NC1CCC(CC1)O,7.434e+02,3.146e-01
N[C@@H]1CCCC[C@@H]1N,6.940e+02,3.030e-01
