SMILES T dliq dgas st tc redT
CCCCC1CCCC1 190 0.8796 9.721e-05 37.97 617.8 0.30754289414049857
CCCCC1CCCC1 294 0.7897 5.471e-05 28.39 617.8 0.4758821625121399
CCCCC1CCCC1 372 0.7188 0.0003464 19.11 617.8 0.6021366137908709
CCCCC1CCCC1 424 0.6713 0.003952000000000001 14.25 617.8 0.6863062479766915
CCCCC1CCCC1 450 0.6474 0.007844 12.1 617.8 0.7283910650696018
CCCCC1CCCC1 476 0.6185 0.01251 9.613 617.8 0.7704758821625122
CCCCC1CCCC1 502 0.5922 0.0166 7.652 617.8 0.8125606992554225
CCCCC1CCCC1 528 0.5567 0.033339999999999995 6.41 617.8 0.8546455163483329
CC(CC1CCCC1)C 183 0.8816 1.481e-05 41.28 622.4 0.29402313624678666
CC(CC1CCCC1)C 288 0.7879 0.0 27.38 622.4 0.46272493573264784
CC(CC1CCCC1)C 367 0.7212 0.0008167 19.42 622.4 0.5896529562982006
CC(CC1CCCC1)C 419 0.6755 0.0035700000000000003 14.07 622.4 0.6732005141388175
CC(CC1CCCC1)C 445 0.6523 0.007974 12.33 622.4 0.714974293059126
CC(CC1CCCC1)C 472 0.6237 0.0116 9.765 622.4 0.7583547557840618
CC(CC1CCCC1)C 498 0.5971 0.01757 8.879 622.4 0.8001285347043702
CC(CC1CCCC1)C 524 0.566 0.028419999999999997 5.441 622.4 0.8419023136246787
CCCC1(C)CCCC1 193 0.8688 0.0 37.93 605.4 0.318797489263297
CCCC1(C)CCCC1 298 0.7791 1.55e-05 24.64 605.4 0.4922365378262306
CCCC1(C)CCCC1 376 0.7122 0.002093 17.02 605.4 0.6210769739015527
CCCC1(C)CCCC1 428 0.6633 0.005386999999999999 12.04 605.4 0.7069705979517674
CCCC1(C)CCCC1 455 0.6342 0.01383 10.5 605.4 0.751569210439379
CCCC1(C)CCCC1 481 0.607 0.02051 8.24 605.4 0.7945160224644863
CCCC1(C)CCCC1 507 0.5744 0.03267 6.8229999999999995 605.4 0.8374628344895937
CCCC1(C)CCCC1 533 0.5391 0.04852 3.597 605.4 0.8804096465147011
CC(C1CCCC1)(C)C 202 0.8603 1.05e-07 34.08 622.5 0.3244979919678715
CC(C1CCCC1)(C)C 303 0.7767 1.713e-05 24.17 622.5 0.4867469879518072
CC(C1CCCC1)(C)C 379 0.7137 0.001439 16.61 622.5 0.6088353413654618
CC(C1CCCC1)(C)C 429 0.6679 0.005179 13.35 622.5 0.689156626506024
CC(C1CCCC1)(C)C 454 0.6445 0.007854 11.27 622.5 0.7293172690763052
CC(C1CCCC1)(C)C 480 0.6186 0.01958 9.204 622.5 0.7710843373493976
CC(C1CCCC1)(C)C 505 0.5902 0.025 6.85 622.5 0.8112449799196787
CC(C1CCCC1)(C)C 530 0.5624 0.03866 5.42 622.5 0.8514056224899599
CCC1(CC)CCCC1 202 0.8666 0.0 35.58 611.9 0.33011930053930383
CCC1(CC)CCCC1 303 0.781 6.905e-06 24.23 611.9 0.49517895080895574
