smiles,T,P,Solubility
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.65,21.5,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.35,25.7,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,31.2,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.85,36.0,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.65,41.1,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.25,46.6,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,52.5,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",302.85,36.0,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.35,44.7,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,54.6,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.05,64.8,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.55,75.1,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.25,85.9,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.05,97.7,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",302.95,46.7,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.35,57.7,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,71.1,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.85,84.5,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.85,99.8,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.25,115.1,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",362.95,132.4,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",302.95,60.7,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.25,79.0,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.95,103.4,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.55,131.7,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.25,163.2,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",352.85,193.3,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",362.85,224.2,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",302.95,107.8,0.778
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",312.95,166.6,0.778
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.85,223.3,0.778
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.85,271.6,0.778
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.55,312.4,0.778
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,213.4,0.812
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.05,282.6,0.812
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",322.15,328.6,0.812
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,12.0,0.197
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,21.9,0.281
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,34.4,0.408
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,49.9,0.521
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,63.3,0.591
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,76.8,0.679
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,87.0,0.725
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",296.95,15.0,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",304.95,16.0,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",312.55,17.0,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",322.95,18.5,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",332.65,20.0,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",342.25,21.5,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",297.05,22.5,0.2861
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",304.15,25.0,0.2861
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",313.85,28.5,0.2861
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",323.45,32.0,0.2861
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",333.05,35.5,0.2861
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",343.35,39.5,0.2861
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",297.25,31.0,0.4085
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",304.45,34.5,0.4085
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",313.95,40.0,0.4085
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",323.75,46.0,0.4085
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",334.15,53.0,0.4085
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",343.35,58.5,0.4085
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",297.25,39.0,0.5112
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",304.25,44.5,0.5112
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",314.15,53.0,0.5112
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",323.45,61.0,0.5112
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",332.85,70.0,0.5112
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",342.05,79.5,0.5112
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",297.65,45.5,0.5695
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",304.05,52.0,0.5695
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",313.55,61.5,0.5695
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",322.95,72.5,0.5695
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",333.15,84.5,0.5695
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",341.45,95.5,0.5695
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",298.15,51.0,0.6161
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",303.75,57.5,0.6161
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",313.65,69.5,0.6161
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",323.55,83.0,0.6161
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",332.75,97.0,0.6161
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",342.85,113.0,0.6161
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",297.75,54.0,0.6494
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",305.25,63.5,0.6494
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",312.95,74.0,0.6494
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",323.05,90.5,0.6494
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",332.55,107.5,0.6494
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",342.95,127.5,0.6494
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",297.75,57.0,0.6814
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",305.25,67.5,0.6814
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",312.95,80.5,0.6814
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",321.85,97.5,0.6814
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",331.85,120.5,0.6814
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",341.55,144.0,0.6814
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",297.55,59.5,0.7084
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",304.15,70.0,0.7084
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",313.15,87.5,0.7084
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",322.45,114.0,0.7084
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",331.55,141.5,0.7084
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",343.15,175.5,0.7084
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",297.95,62.5,0.7322
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",303.15,81.5,0.7322
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",312.85,117.0,0.7322
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",322.05,151.5,0.7322
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",331.25,183.5,0.7322
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",341.75,217.5,0.7322
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",299.15,137.0,0.7631
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",303.85,156.0,0.7631
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",312.95,193.5,0.7631
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",322.65,231.5,0.7631
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",332.45,267.5,0.7631
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",342.45,300.5,0.7631
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",299.15,175.5,0.7738
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",302.45,189.0,0.7738
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",313.95,237.0,0.7738
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",322.95,271.5,0.7738
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",332.85,307.5,0.7738
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",343.15,342.0,0.7738
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.15,1.25,0.0089
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.15,3.57,0.0251
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.15,5.48,0.0391
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.15,8.49,0.06
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.15,11.48,0.0822
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.15,15.15,0.1076
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",313.15,1.26,0.0074
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",313.15,3.78,0.0231
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",313.15,6.15,0.0371
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",313.15,9.45,0.0572
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",313.15,12.61,0.0761
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",313.15,14.94,0.0905
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",328.15,1.78,0.0074
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",328.15,3.48,0.0146
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",328.15,5.48,0.0225
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",328.15,8.94,0.0371
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",328.15,12.15,0.0502
"[""OCC[NH2+]CCO"", 0.5, ""C(C)(=O)[O-]"", 0.5]",328.15,15.05,0.0626
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",298.15,1.24,0.0069
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",298.15,3.46,0.0192
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",298.15,6.48,0.0361
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",298.15,9.48,0.0529
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",298.15,12.45,0.0691
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",298.15,15.12,0.0835
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",313.15,1.21,0.0054
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",313.15,3.48,0.0158
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",313.15,7.48,0.0342
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",313.15,10.59,0.0484
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",313.15,13.15,0.0601
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",313.15,15.98,0.0738
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",328.15,1.69,0.0035
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",328.15,3.48,0.0071
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",328.15,7.46,0.015
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",328.15,10.56,0.0211
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",328.15,12.12,0.0238
"[""OCC[NH2+]CCO"", 0.5, ""C(C(O)C)(=O)[O-]"", 0.5]",328.15,15.06,0.0284
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",283.1,0.1,0.192
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",283.1,0.5,0.273
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",283.1,1.0,0.307
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",283.1,4.0,0.357
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",283.1,6.99,0.393
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,0.1,0.188
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,0.5,0.252
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,1.0,0.274
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,4.0,0.324
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,7.0,0.355
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,10.0,0.381
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,15.0,0.42
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,19.99,0.455
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.2,13.0,0.405
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",323.1,0.1,0.108
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",323.1,0.5,0.176
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",323.1,1.0,0.204
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",323.1,4.0,0.263
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",323.1,10.0,0.315
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",323.1,13.0,0.334
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",323.1,15.0,0.346
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",323.2,7.0,0.292
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",323.2,19.99,0.373
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",348.1,0.1,0.063
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",348.1,0.51,0.129
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",348.1,1.0,0.161
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",348.1,4.0,0.226
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",348.1,6.99,0.253
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",348.1,10.0,0.272
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",348.1,12.99,0.287
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",348.1,15.0,0.294
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",348.2,19.99,0.316
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,0.1,0.162
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.0,0.5,0.251
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.2,1.0,0.275
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,3.99,0.326
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,7.0,0.357
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,10.0,0.383
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.3,13.0,0.406
"[""C(CCC)[N+]1=CN(C=C1)C"", 0.5, ""C(C)(=O)[O-]"", 0.5]",298.1,15.0,0.42
